layer,head,importance,similarity,mean_jsd,n_prompts_or_windows,n_token_vectors
23,14,0.147196,0.852804,0.102028,0,2166
23,15,0.147913,0.852087,0.102526,0,2166
24,0,0.2603,0.7397,0.180426,0,2166
24,1,0.254435,0.745565,0.176361,0,2166
24,2,0.302118,0.697882,0.209412,0,2166
24,3,0.292586,0.707414,0.202805,0,2166
24,4,0.379498,0.620502,0.263048,0,2166
24,5,0.383385,0.616615,0.265742,0,2166
24,6,0.335252,0.664748,0.232379,0,2166
24,7,0.396039,0.603961,0.274513,0,2166
24,8,0.261259,0.738741,0.181091,0,2166
24,9,0.312718,0.687282,0.21676,0,2166
24,10,0.186577,0.813423,0.129325,0,2166
24,11,0.442751,0.557249,0.306892,0,2166
24,12,0.230226,0.769774,0.159581,0,2166
24,13,0.136873,0.863127,0.0948729,0,2166
24,14,0.239479,0.760521,0.165994,0,2166
24,15,0.25047,0.74953,0.173613,0,2166
25,0,0.0776096,0.92239,0.0537949,0,2166
25,1,0.208451,0.791549,0.144487,0,2166
25,2,0.138138,0.861862,0.0957499,0,2166
25,3,0.130156,0.869844,0.0902173,0,2166
25,4,0.16222,0.83778,0.112443,0,2166
25,5,0.112265,0.887735,0.077816,0,2166
25,6,0.188616,0.811384,0.130739,0,2166
25,7,0.131293,0.868707,0.0910052,0,2166
25,8,0.209656,0.790344,0.145323,0,2166
25,9,0.183009,0.816991,0.126852,0,2166
25,10,0.149491,0.850509,0.103619,0,2166
25,11,0.109498,0.890502,0.0758982,0,2166
25,12,0.131212,0.868788,0.0909491,0,2166
25,13,0.149049,0.850951,0.103313,0,2166
25,14,0.173715,0.826285,0.12041,0,2166
25,15,0.125173,0.874827,0.0867632,0,2166
26,0,0.104196,0.895804,0.0722233,0,2166
26,1,0.140306,0.859694,0.0972525,0,2166
26,2,0.116756,0.883244,0.0809291,0,2166
26,3,0.0864443,0.913556,0.0599186,0,2166
26,4,0.0826232,0.917377,0.05727,0,2166
26,5,0.116306,0.883694,0.0806173,0,2166
26,6,0.104495,0.895505,0.0724304,0,2166
26,7,0.0947578,0.905242,0.0656811,0,2166
26,8,0.159719,0.840281,0.110709,0,2166
26,9,0.13626,0.86374,0.0944484,0,2166
26,10,0.11074,0.88926,0.0767589,0,2166
26,11,0.100345,0.899655,0.0695538,0,2166
26,12,0.145488,0.854512,0.100844,0,2166
26,13,0.114403,0.885597,0.0792981,0,2166
26,14,0.121789,0.878211,0.084418,0,2166
26,15,0.109949,0.890051,0.0762112,0,2166
