layer,head,importance,similarity,mean_jsd,n_prompts_or_windows,n_token_vectors
23,11,0.121063,0.878937,0.0839142,0,4810
23,12,0.118105,0.881895,0.081864,0,4810
23,13,0.118527,0.881473,0.0821564,0,4810
23,14,0.112436,0.887564,0.0779345,0,4810
23,15,0.0986045,0.901395,0.0683474,0,4810
24,0,0.203876,0.796124,0.141316,0,4810
24,1,0.156876,0.843124,0.108738,0,4810
24,2,0.230299,0.769701,0.159631,0,4810
24,3,0.200746,0.799254,0.139147,0,4810
24,4,0.296873,0.703127,0.205777,0,4810
24,5,0.318964,0.681036,0.221089,0,4810
24,6,0.264615,0.735385,0.183417,0,4810
24,7,0.304084,0.695916,0.210775,0,4810
24,8,0.204487,0.795513,0.14174,0,4810
24,9,0.235327,0.764673,0.163116,0,4810
24,10,0.143565,0.856435,0.099512,0,4810
24,11,0.362204,0.637796,0.251061,0,4810
24,12,0.144142,0.855858,0.0999119,0,4810
24,13,0.0906259,0.909374,0.0628171,0,4810
24,14,0.162658,0.837342,0.112746,0,4810
24,15,0.188975,0.811025,0.130988,0,4810
25,0,0.0436333,0.956367,0.0302443,0,4810
25,1,0.132286,0.867714,0.0916937,0,4810
25,2,0.0828872,0.917113,0.057453,0,4810
25,3,0.0809305,0.919069,0.0560968,0,4810
25,4,0.0962783,0.903722,0.066735,0,4810
25,5,0.0702967,0.929703,0.048726,0,4810
25,6,0.109333,0.890667,0.0757838,0,4810
25,7,0.0834734,0.916527,0.0578594,0,4810
25,8,0.105504,0.894496,0.07313,0,4810
25,9,0.109848,0.890152,0.076141,0,4810
25,10,0.0922151,0.907785,0.0639186,0,4810
25,11,0.0727559,0.927244,0.0504305,0,4810
25,12,0.0798703,0.92013,0.0553619,0,4810
25,13,0.0737685,0.926231,0.0511324,0,4810
25,14,0.0988834,0.901117,0.0685407,0,4810
25,15,0.0823967,0.917603,0.0571131,0,4810
26,0,0.0731339,0.926866,0.0506925,0,4810
26,1,0.100843,0.899157,0.0698994,0,4810
26,2,0.0815783,0.918422,0.0565458,0,4810
