op name, kernel name, exec duration (ms), global size, local size, output size
Qcur-15,kernel_rope_neox_f32,0.115000,1792x128x1,64x1x1,128x28x128x1
Kcur-15,kernel_add_row,0.025200,16384x0x0,64x0x0,512x128x1x1
Kcur-15,kernel_rope_neox_f32,0.012700,256x128x1,64x1x1,128x4x128x1
Vcur-15,kernel_add_row,0.013300,16384x0x0,64x0x0,512x128x1x1
cache_k_l15 (view),kernel_set_rows_f16_i64,0.019300,65536x1x1,512x1x1,512x4096x1x1
cache_v_l15 (view),kernel_set_rows_f16_i64,0.015200,65536x1x1,512x1x1,512x4096x1x1
__fattn__-15,flash_attn_f32_f16,45.869400,128x28x0,32x1x0,128x28x128x1
ffn_inp-15,kernel_add,0.224000,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-15,kernel_rms_norm_mul,0.108000,131072x1x1,1024x1x1,3584x128x1x1
l_out-15,kernel_add,0.154900,8192x1x1,64x1x1,3584x128x1x1
attn_norm-16,kernel_rms_norm_mul,0.087600,131072x1x1,1024x1x1,3584x128x1x1
Qcur-16,kernel_add_row,0.079300,114688x0x0,64x0x0,3584x128x1x1
Qcur-16,kernel_rope_neox_f32,0.080000,1792x128x1,64x1x1,128x28x128x1
Kcur-16,kernel_add_row,0.014800,16384x0x0,64x0x0,512x128x1x1
Kcur-16,kernel_rope_neox_f32,0.012200,256x128x1,64x1x1,128x4x128x1
Vcur-16,kernel_add_row,0.009900,16384x0x0,64x0x0,512x128x1x1
cache_k_l16 (view),kernel_set_rows_f16_i64,0.015500,65536x1x1,512x1x1,512x4096x1x1
cache_v_l16 (view),kernel_set_rows_f16_i64,0.014000,65536x1x1,512x1x1,512x4096x1x1
__fattn__-16,flash_attn_f32_f16,41.976398,128x28x0,32x1x0,128x28x128x1
ffn_inp-16,kernel_add,0.218100,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-16,kernel_rms_norm_mul,0.108000,131072x1x1,1024x1x1,3584x128x1x1
l_out-16,kernel_add,0.121300,8192x1x1,64x1x1,3584x128x1x1
attn_norm-17,kernel_rms_norm_mul,0.088300,131072x1x1,1024x1x1,3584x128x1x1
Qcur-17,kernel_add_row,0.071200,114688x0x0,64x0x0,3584x128x1x1
Qcur-17,kernel_rope_neox_f32,0.073400,1792x128x1,64x1x1,128x28x128x1
Kcur-17,kernel_add_row,0.010800,16384x0x0,64x0x0,512x128x1x1
Kcur-17,kernel_rope_neox_f32,0.012100,256x128x1,64x1x1,128x4x128x1
node_590,kernel_mul_mv_q6_K_f32,15.592100,512x8192x1,2x64x1,512x128x1x1
Vcur-17,kernel_add_row,0.012800,16384x0x0,64x0x0,512x128x1x1
cache_k_l17 (view),kernel_set_rows_f16_i64,0.020700,65536x1x1,512x1x1,512x4096x1x1
cache_v_l17 (view),kernel_set_rows_f16_i64,0.014800,65536x1x1,512x1x1,512x4096x1x1
__fattn__-17,flash_attn_f32_f16,47.677898,128x28x0,32x1x0,128x28x128x1
ffn_inp-17,kernel_add,0.191200,8192x1x1,64x1x1,3584x128x1x1
