op name, kernel name, exec duration (ms), global size, local size, output size
ffn_moe_weights-21,kernel_get_rows_f32,0.004000,384x64x1,64x1x1,1x6x64x1
ffn_moe_weights_scaled-21,kernel_scale,0.001800,96x1x1,64x1x1,1x6x64x1
ffn_moe_gate-21,kernel_mul_mv_id_q4_0_f32_8x_flat,9.228500,11264x1x384,64x1x1,1408x6x64x1
ffn_moe_up-21,kernel_mul_mv_id_q4_0_f32_8x_flat,9.227900,11264x1x384,64x1x1,1408x6x64x1
ffn_moe_weighted-21,kernel_swiglu,0.083800,196608x1x1,512x1x1,1408x6x64x1
ffn_moe_down-21,kernel_mul_mv_id_q4_0_f32_8x_flat,9.891700,16384x1x384,64x1x1,2048x6x64x1
node_1389,kernel_mul,0.100700,384x64x1,64x1x1,2048x6x64x1
ffn_gate-21,kernel_transpose_32_16,0.011600,512x16x0,1x16x0,2816x64x1x1
ffn_gate-21,kernel_mul_mat_Ab_Bi_8x4,0.382600,8x704x1,1x128x1,2816x64x1x1
ffn_up-21,kernel_transpose_32_16,0.010400,512x16x0,1x16x0,2816x64x1x1
ffn_up-21,kernel_mul_mat_Ab_Bi_8x4,0.385800,8x704x1,1x128x1,2816x64x1x1
ffn_swiglu-21,kernel_swiglu,0.023100,32768x1x1,512x1x1,2816x64x1x1
node_1399,kernel_add,0.025100,4096x1x1,64x1x1,2048x64x1x1
node_1400,kernel_add,0.020600,4096x1x1,64x1x1,2048x64x1x1
node_1401,kernel_add,0.017000,4096x1x1,64x1x1,2048x64x1x1
node_1402,kernel_add,0.018200,4096x1x1,64x1x1,2048x64x1x1
ffn_moe_out-21,kernel_add,0.017600,4096x1x1,64x1x1,2048x64x1x1
ffn_shexp-21,kernel_transpose_32_16,0.013300,704x16x0,1x16x0,2048x64x1x1
ffn_shexp-21,kernel_mul_mat_Ab_Bi_8x4,0.523100,8x512x1,1x128x1,2048x64x1x1
ffn_out-21,kernel_add,0.021700,4096x1x1,64x1x1,2048x64x1x1
l_out-21,kernel_add,0.018600,4096x1x1,64x1x1,2048x64x1x1
attn_norm-22,kernel_rms_norm_mul,0.019300,65536x1x1,1024x1x1,2048x64x1x1
q-22,kernel_transpose_32_16,0.008900,512x16x0,1x16x0,3072x64x1x1
q-22,kernel_mul_mat_Ab_Bi_8x4,0.389900,8x768x1,1x128x1,3072x64x1x1
q_pe-22,kernel_rope_norm_f32,0.012000,1024x64x1,64x1x1,64x16x64x1
Qcur-22,kernel_concat_f32_non_contiguous,0.348900,16x64x1,0x0x0,192x16x64x1
kv_cmpr_pe-22,kernel_transpose_32_16,0.010700,512x16x0,1x16x0,576x64x1x1
kv_cmpr_pe-22,kernel_mul_mat_Ab_Bi_8x4,0.316900,8x144x1,1x128x1,576x64x1x1
k_pe-22,kernel_rope_norm_f32,0.002600,64x64x1,64x1x1,64x1x64x1
node_1417,kernel_repeat,0.285600,16x64x1,0x0x0,64x16x64x1
kv_cmpr-22,kernel_rms_norm_mul,0.009900,32768x1x1,512x1x1,512x64x1x1
kv-22,kernel_transpose_32_16,0.004100,128x16x0,1x16x0,4096x64x1x1
kv-22,kernel_mul_mat_Ab_Bi_8x4,0.133900,8x1024x1,1x128x1,4096x64x1x1
Kcur-22,kernel_concat_f32_non_contiguous,0.400600,16x64x1,0x0x0,192x16x64x1
Vcur_cont-22,kernel_cpy_f32_f32,0.014000,1024x64x1,64x1x1,128x16x64x1
cache_k_l22 (view),kernel_set_rows_f16_i64,0.015800,65536x1x1,1024x1x1,3072x4096x1x1
cache_v_l22 (view),kernel_set_rows_f16_i64,0.011400,65536x1x1,1024x1x1,2048x4096x1x1
__fattn__-22,flash_attn_f32_f16,9.386800,64x16x0,16x1x0,128x16x64x1
node_1438,kernel_transpose_32_16,0.009000,512x16x0,1x16x0,2048x64x1x1
node_1438,kernel_mul_mat_Ab_Bi_8x4,0.372200,8x512x1,1x128x1,2048x64x1x1
ffn_inp-22,kernel_add,0.021500,4096x1x1,64x1x1,2048x64x1x1
ffn_norm-22,kernel_rms_norm_mul,0.019300,65536x1x1,1024x1x1,2048x64x1x1
ffn_moe_logits-22,kernel_mul_mm_f32_f32_l4_lm,0.508900,128x1x1,128x1x1,64x64x1x1
ffn_moe_probs-22,kernel_soft_max_4,0.003700,4096x1x1,64x1x1,64x64x1x1
ffn_moe_argsort-22,kernel_argsort_f32_i32,0.015300,64x64x1,64x1x1,64x64x1x1
ffn_moe_weights-22,kernel_get_rows_f32,0.004000,384x64x1,64x1x1,1x6x64x1
ffn_moe_weights_scaled-22,kernel_scale,0.002100,96x1x1,64x1x1,1x6x64x1
ffn_moe_gate-22,kernel_mul_mv_id_q4_0_f32_8x_flat,9.208700,11264x1x384,64x1x1,1408x6x64x1
ffn_moe_up-22,kernel_mul_mv_id_q4_0_f32_8x_flat,9.226800,11264x1x384,64x1x1,1408x6x64x1
ffn_moe_weighted-22,kernel_swiglu,0.083600,196608x1x1,512x1x1,1408x6x64x1
ffn_moe_down-22,kernel_mul_mv_id_q4_0_f32_8x_flat,9.865500,16384x1x384,64x1x1,2048x6x64x1
node_1454,kernel_mul,0.101100,384x64x1,64x1x1,2048x6x64x1
ffn_gate-22,kernel_transpose_32_16,0.010800,512x16x0,1x16x0,2816x64x1x1
ffn_gate-22,kernel_mul_mat_Ab_Bi_8x4,0.383700,8x704x1,1x128x1,2816x64x1x1
ffn_up-22,kernel_transpose_32_16,0.009400,512x16x0,1x16x0,2816x64x1x1
ffn_up-22,kernel_mul_mat_Ab_Bi_8x4,0.383700,8x704x1,1x128x1,2816x64x1x1
ffn_swiglu-22,kernel_swiglu,0.023800,32768x1x1,512x1x1,2816x64x1x1
node_1464,kernel_add,0.024300,4096x1x1,64x1x1,2048x64x1x1
node_1465,kernel_add,0.021200,4096x1x1,64x1x1,2048x64x1x1
node_1466,kernel_add,0.017200,4096x1x1,64x1x1,2048x64x1x1
node_1467,kernel_add,0.017500,4096x1x1,64x1x1,2048x64x1x1
ffn_moe_out-22,kernel_add,0.017200,4096x1x1,64x1x1,2048x64x1x1
ffn_shexp-22,kernel_transpose_32_16,0.011600,704x16x0,1x16x0,2048x64x1x1
ffn_shexp-22,kernel_mul_mat_Ab_Bi_8x4,0.528200,8x512x1,1x128x1,2048x64x1x1
ffn_out-22,kernel_add,0.020600,4096x1x1,64x1x1,2048x64x1x1
l_out-22,kernel_add,0.018700,4096x1x1,64x1x1,2048x64x1x1
attn_norm-23,kernel_rms_norm_mul,0.019500,65536x1x1,1024x1x1,2048x64x1x1
q-23,kernel_transpose_32_16,0.006700,512x16x0,1x16x0,3072x64x1x1
q-23,kernel_mul_mat_Ab_Bi_8x4,0.387600,8x768x1,1x128x1,3072x64x1x1
q_pe-23,kernel_rope_norm_f32,0.011700,1024x64x1,64x1x1,64x16x64x1
Qcur-23,kernel_concat_f32_non_contiguous,0.346200,16x64x1,0x0x0,192x16x64x1
kv_cmpr_pe-23,kernel_transpose_32_16,0.010500,512x16x0,1x16x0,576x64x1x1
kv_cmpr_pe-23,kernel_mul_mat_Ab_Bi_8x4,0.318400,8x144x1,1x128x1,576x64x1x1
k_pe-23,kernel_rope_norm_f32,0.002800,64x64x1,64x1x1,64x1x64x1
node_1482,kernel_repeat,0.287300,16x64x1,0x0x0,64x16x64x1
